code,id_g2a,name,name_g2a,locality,station
,7504,"Hôtel Le Sporting","HOTEL LE SPORTING",Morzine,MORZINE
,2457,"Hotel l'Aigle","HOTEL L'AIGLE",Valmeinier,VALMEINIER
,,"Le MontBlanc-Flumet","LE MONTBLANC-FLUMET",Flumet,
,3363,"Hôtel Restaurant Les Tilleuls","HOTEL RESTAURANT LES TILLEULS",Autrans,VERCORS
,4343,"Hotel Le Ferraillon","HOTEL LE FERRAILLON",Abondance,"PAYS D'EVIAN - MONTAGNE"
,7560,"Hôtel Le Mouton Bleu","HOTEL LE MOUTON BLEU",Talloires,"GRAND ANNECY AGGLOMERATION"
,7177,"Hotel Le Central","HOTEL LE CENTRAL","La Féclaz",BAREGES
,3358,"Hôtel Restaurant La Buffe","HOTEL RESTAURANT LA BUFFE",Autrans,VERCORS
,6384,"Hôtel Arcalod","HOTEL ARCALOD",Jarsy,"SOURCES DU LAC D'ANNECY"
,7106,"Hôtel de la Grotte","HOTEL DE LA GROTTE",Aix-les-Bains,"AIX LES BAINS RIVIERA DES ALPES"
,7104,"Hotel de la Couronne","HOTEL DE LA COURONNE",Aix-les-Bains,
,8462,"Hotel Central","HOTEL CENTRAL",Saint-Pierre-dʼAlbigny,
,4966,"Hôtel du Soleil","HOTEL DU SOLEIL",Aussois,
,,"Auberge du Freney","AUBERGE DU FRENEY","Le Freney-dʼOisans",
,2603,"Hôtel Le Beauséjour","HOTEL LE BEAUSEJOUR",Saint-François-Longchamp,"TOURMALET - PIC DU MIDI"
,,"Auberge De La Foret","AUBERGE DE LA FORET",Auris,
,,PopAlp,POPALP,L'Alpe-d'Huez,
,,"Atmosphere Hotel","ATMOSPHERE HOTEL","Les Deux Alpes",
,,"Hôtel Valentin","HOTEL VALENTIN","Les Deux Alpes",
,,"Chalet Mounier","CHALET MOUNIER","Les Deux Alpes",
,,"Hôtel du Musée de l'Eau","HOTEL DU MUSEE DE L'EAU",Pont-en-Royans,
,1880,"Hotel Le Terminus","HOTEL LE TERMINUS","Le Bourg-dʼOisans","VALLEE D'AX"
,,"La Saleine","LA SALEINE",Crest,
,,Brun,BRUN,Saint-Lattier,
,,"Hôtel Valery","HOTEL VALERY",Montélier,
,,"Best Western Grand Hotel de Paris","BEST WESTERN GRAND HOTEL DE PARIS",Villard-de-Lans,
,,"Le Castel Fleuri","LE CASTEL FLEURI",Saint-Jean-en-Royans,
,,"Hôtel Les Portes du Vercors","HOTEL LES PORTES DU VERCORS",Saint-Marcellin,
,,"HOTEL DU MIDI","HOTEL DU MIDI",Beaufort-sur-Gervanne,
,,"Les 4 Montagnes","LES 4 MONTAGNES",Villard-de-Lans,
,,"Val Lachard","VAL LACHARD",Villard-de-Lans,
,,"Hôtel Macchi Restaurant  and  Spa","HOTEL MACCHI RESTAURANT  AND  SPA",Châtel,
,,"Chalet Chanso","CHALET CHANSO",Morgins,
,,"Le Roitelet","LE ROITELET",Châtel,
,1165,"Hôtel du Centre","HOTEL DU CENTRE",Villard-de-Lans,VALLOIRE
,,"Helvetia hotel","HELVETIA HOTEL",Morgins,
,,"Les Cornettes","LES CORNETTES","La Chapelle-dʼAbondance",
,,"Hôtel Le Kandahar","HOTEL LE KANDAHAR",Châtel,
,,"Au Bois de Lune","AU BOIS DE LUNE",Châtel,
,,"Boutique-Hôtel Chez Jan","BOUTIQUE-HOTEL CHEZ JAN",Morgins,
,,"Le Castellan","LE CASTELLAN",Châtel,
,,"Le Chabi","LE CHABI","La Chapelle-dʼAbondance",
,,"Hôtel Les Essarts- USSIM Vacances","HOTEL LES ESSARTS- USSIM VACANCES",Valloire,
,,"Hôtel Saint-Georges","HOTEL SAINT-GEORGES",Saint-Jean-de-Maurienne,
,,"Grand Hotel de Valloire et du Galibier","GRAND HOTEL DE VALLOIRE ET DU GALIBIER",Valloire,
,,"La Perelle","LA PERELLE",Saint-François-Longchamp,
,,"Hotel Lac Bleu 1650","HOTEL LAC BLEU 1650",Saint-François-Longchamp,
,,"Hôtel Saint Charles Val Cenis","HOTEL SAINT CHARLES VAL CENIS",Lanslebourg-Mont-Cenis,
,,"Savoy Hotel  and  Restaurant","SAVOY HOTEL  AND  RESTAURANT",Saint-Michel-de-Maurienne,
,,"Le Relais du Galibier","LE RELAIS DU GALIBIER",Valloire,
,,"Les Roches Blanches","LES ROCHES BLANCHES",Lanslebourg-Mont-Cenis,
,,"Hôtel-Chalet les Mélèzes","HOTEL-CHALET LES MELEZES",Valloire,
,,"Aiguille Noire","AIGUILLE NOIRE",Valloire,
,,"ALPAZUR Val Cenis","ALPAZUR VAL CENIS",Lanslebourg-Mont-Cenis,
,,"Les Cèdres - Hôtel - Restaurants - Spa","LES CEDRES - HOTEL - RESTAURANTS - SPA",Saint-Sorlin-d'Arves,
,,"Gîte Le Shantoné","GITE LE SHANTONE",Saint-Michel-de-Maurienne,
,,"SOWELL Family Valfrejus","SOWELL FAMILY VALFREJUS",Valfréjus,
,,"L'Outa Hotel Restaurant","L'OUTA HOTEL RESTAURANT",Termignon,
,,"Hôtel du Crêt Rond","HOTEL DU CRET ROND",Valloire,
,,"Hotel Restaurant Lancheton","HOTEL RESTAURANT LANCHETON",Saint-Julien-Mont-denis,
,2501,"Hôtel Les Mottets","HOTEL LES MOTTETS",Aussois,"HAUTE MAURIENNE VANOISE"
,,"Les Sorbiers","LES SORBIERS",Montricher-le-Bochet,
,,"Hôtel Club 'Les Carrettes'","HOTEL CLUB 'LES CARRETTES'",Valmeinier,
,7103,"Hôtel Broisin","HOTEL BROISIN",Aix-les-Bains,"AIX LES BAINS RIVIERA DES ALPES"
,,"Auberge d'Aillon et d'Ailleurs","AUBERGE D'AILLON ET D'AILLEURS",Aillon-le-Jeune,
,,"Auberge Du Roselet","AUBERGE DU ROSELET",Duingt,
,,"Maison De Savoie","MAISON DE SAVOIE",Saint-Pierre-dʼAlbigny,
,,"Abbaye de Talloires","ABBAYE DE TALLOIRES",Talloires,
,,"Urban Hôtel  and  Spa","URBAN HOTEL  AND  SPA",Aix-les-Bains,
,,"Le Carré d'Aix","LE CARRE D'AIX",Aix-les-Bains,
,,"Le Colibri","LE COLIBRI",Aix-les-Bains,
,,"B and B HOTEL Aix-les-Bains","B AND B HOTEL AIX-LES-BAINS",Grésy-sur-Aix,
,,"Au Bec Fin Hôtel","AU BEC FIN HOTEL",Aix-les-Bains,
,,"Le Palace De Menthon","LE PALACE DE MENTHON",Menthon-Saint-Bernard,
,,"Hôtel Gallia","HOTEL GALLIA",Aix-les-Bains,
,,"Belle Epoque","BELLE EPOQUE",Aix-les-Bains,
,,"Château Brachet","CHATEAU BRACHET",Grésy-sur-Aix,
,1111,"Hôtel Belalp","HOTEL BELALP",Châtel,CHATEL
,5490,"Hotel Le V de Vaujany","HOTEL LE V DE VAUJANY",Vaujany,"ALPE D'HUEZ GRAND DOMAINE"
,,"Motel 991","MOTEL 991",Viviers-du-Lac,
,1084,"Hotel Emeraude","HOTEL EMERAUDE",Peisey-Nancroix,"PEISEY VALLANDRY"
,7117,"Hotel Le Savoy","HOTEL LE SAVOY",Méribel,"AIX LES BAINS RIVIERA DES ALPES"
,,"Hotel De La Gare","HOTEL DE LA GARE",Aix-les-Bains,
,,"Hotel  and  Spa Marina d'Adelphia","HOTEL  AND  SPA MARINA D'ADELPHIA",Aix-les-Bains,
