code,id_g2a,name,name_g2a,locality,station
,,"Camping Marina di Sorbo","CAMPING MARINA DI SORBO","20213 SORBO OCAGNANO",
,,"Domaine du Ranch Car","DOMAINE DU RANCH CAR","62910 EPERLECQUES",
,,"Camping Plein Soleil","CAMPING PLEIN SOLEIL","65100 LOURDES",
,,"Camping Paradis Carcans Lacanau","CAMPING PARADIS CARCANS LACANAU","33121 CARCANS",
,,"Camping Ras L'Bol","CAMPING RAS L'BOL","RD 157 route de Porto Polo",
,,"Camping Les Alouettes","CAMPING LES ALOUETTES","85470 BRETIGNOLLES SUR MER",
,,"Camping Le Riviera","CAMPING LE RIVIERA","07120 SAMPZON",
,,"Camping Les Oiseaux","CAMPING LES OISEAUX","80120 RUE",
,,"Camping Campéole Navarrosse","CAMPING CAMPEOLE NAVARROSSE","40600 BISCARROSSE",
,,"CAMPING LE MOULIN A VENT","CAMPING LE MOULIN A VENT","84160 CUCURON",
,,"Camping Paradis Cayola","CAMPING PARADIS CAYOLA","34450 VIAS",
,,"Camping La Provençale","CAMPING LA PROVENCALE","6210 MANDELIEU LA NAPOULE",
,,"Le Strato","LE STRATO","Courchevel 1850 -  Courchevel",
,3879,"Camping L'Hippocampe","CAMPING L'HIPPOCAMPE",sur,ARGELES-SUR-MER
,,"DOMAINE DE BLANGY","DOMAINE DE BLANGY","02500 HIRSON",
,,"Camping Les Gites de Beille","CAMPING LES GITES DE BEILLE","09310 LES CABANNES",
,,"Camping Le Nizour","CAMPING LE NIZOUR","16440 SIREUIL",
,,"Camping Des Randonneurs","CAMPING DES RANDONNEURS","66220 FENOUILLET",
,,"Camping La Plaine Tonique","CAMPING LA PLAINE TONIQUE","01340 MONTREVEL EN BRESSE",
,,"Camping Le Moulin Brûlé","CAMPING LE MOULIN BRULE","42140 CHAZELLES SUR LYON",
,,"Camping Paradis Ombre des Tilleuls","CAMPING PARADIS OMBRE DES TILLEULS","65270 PEYROUSE",
,,"Camping Koawa Du Lac de Thoux","CAMPING KOAWA DU LAC DE THOUX","32430 THOUX",
,,"Camping L'Ile d'Or","CAMPING L'ILE D'OR","83400 GIENS",
,,"Camping Lanfonnet","CAMPING LANFONNET","74290 TALLOIRES",
,,"Camping Le Gallo Romain","CAMPING LE GALLO ROMAIN","26300 BARBIERES",
,,"Tour Opérateur et Particulier sur Camping Sables du Midi - Fun pass non inclus","TOUR OPERATEUR ET PARTICULIER SUR CAMPING SABLES DU MIDI - FUN PASS NON INCLUS","34350 VALRAS",
,,"Camping des Halles","CAMPING DES HALLES","58300 DECIZE",
,,"Camping Petra Legna","CAMPING PETRA LEGNA","20137 PORTO",
,,"Auberge du Montcalm","AUBERGE DU MONTCALM",Auzat,
,,"Logis Hôtel Espelletenia","LOGIS HOTEL ESPELLETENIA",Larceveau-Arros-Cibits,
,,"Yoonly and Friends","YOONLY AND FRIENDS",Risoul,
,,"Grandes Rousses Hotel  and  Spa","GRANDES ROUSSES HOTEL  AND  SPA",L'Alpe-d'Huez,
,,"Les Carlines","LES CARLINES","Vars - Les Claux -  Vars",
,,"La Vigne de Ramatuelle","LA VIGNE DE RAMATUELLE",Ramatuelle,
,,"Le Jardin d'EDEN ""réservé aux couples""","LE JARDIN D'EDEN ""RESERVE AUX COUPLES""","Village naturiste -  Le Cap d'Agde",
,,"Sporting House Hôtel","SPORTING HOUSE HOTEL","Toulouse Nord -  Toulouse",
,8617,"Camping Beauséjour","CAMPING BEAUSEJOUR",ARQUES,ARGELES-SUR-MER
,,"Hotel Spa L'Equipe","HOTEL SPA L'EQUIPE",Molines-en-Queyras,
,,"Auberge Le Vieux Chaillol","AUBERGE LE VIEUX CHAILLOL",Saint-Michel-de-Chaillol,
,,"La Bastide Du Clos des Roses - Les Collectionneurs","LA BASTIDE DU CLOS DES ROSES - LES COLLECTIONNEURS",Fréjus,
,,"Studio 7 3 Min Du Futuroscope","STUDIO 7 3 MIN DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"The Originals City -  Hôtel Le Sextant -  Toulouse Sud (Inter-Hotel)","THE ORIGINALS CITY -  HOTEL LE SEXTANT -  TOULOUSE SUD (INTER-HOTEL)",Labège,
,,"Hôtel du Palais de l'Isle","HOTEL DU PALAIS DE L'ISLE","Centre-ville d'Annecy -  Annecy",
,,"Le Quarré Hôtel Bistrot","LE QUARRE HOTEL BISTROT",Bruguières,
,,L'Initial,L'INITIAL,"Toulouse Ouest -  Toulouse",
,,"Hôtel Marielle","HOTEL MARIELLE","Val Thorens",
,,"Hotel Pashmina Le Refuge","HOTEL PASHMINA LE REFUGE","Val Thorens",
,,"Les Rhododendrons","LES RHODODENDRONS","Plagne 1800",
,,"Apt T3 - 3 Min du Futuroscope","APT T3 - 3 MIN DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,7548,"Hotel Les Tilleuls","HOTEL LES TILLEULS",Hasparren,"GRAND ANNECY AGGLOMERATION"
,7215,"Camping Beau Rivage","CAMPING BEAU RIVAGE",MEZE,"DESTINATION ARCHIPEL DE THAU"
,,"Studio cosy Bali 1 à 4 pers porte du Futuroscope","STUDIO COSY BALI 1 A 4 PERS PORTE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,5763,"Camping Des Neiges","CAMPING DES NEIGES","438 Avenue de Savoie",VALMOREL
,,"L'industriel by GOODBNB - Proche Gare - 15mn Futuroscope","L'INDUSTRIEL BY GOODBNB - PROCHE GARE - 15MN FUTUROSCOPE",Poitiers,
,,"Le Toit Vert","LE TOIT VERT",Fitou,
,,"Mercure Poitiers Centre","MERCURE POITIERS CENTRE",Poitiers,
894794,7247,"Camping La Lagune","CAMPING LA LAGUNE",Frontignan,"DESTINATION ARCHIPEL DE THAU"
,7251,"Hôtel Point Bleu","HOTEL POINT BLEU",Frontignan,"DESTINATION ARCHIPEL DE THAU"
40187,8779,"VVF Club Essentiel Le Massif de Belledonne","VVF CLUB ESSENTIEL LE MASSIF DE BELLEDONNE","Les 7 Laux - Prapoutel","LES 7 LAUX"
193689,9029,"Résidence Turquoise","RESIDENCE TURQUOISE","La Plagne - Belle Plagne","LA PLAGNE"
40190,8785,"VVF Club Essentiel Les Ecrins","VVF CLUB ESSENTIEL LES ECRINS",Saint-Bonnet-en-Champsaur,
,9192,"Camping les Peupliers","CAMPING LES PEUPLIERS",COLOMBIERS,
,,"ibis Poitiers Sud","IBIS POITIERS SUD",Poitiers,
,,"ibis Styles Poitiers Centre","IBIS STYLES POITIERS CENTRE",Poitiers,
,,"Les Apparts de Blossac Poitiers","LES APPARTS DE BLOSSAC POITIERS",Poitiers,
,,"Pari57bis - T2 meublés entre centre ville et Futuroscope à 15min - CHU - CCI à 5 min","PARI57BIS - T2 MEUBLES ENTRE CENTRE VILLE ET FUTUROSCOPE A 15MIN - CHU - CCI A 5 MIN",Poitiers,
,,"~ le Terracotta ~ Studio 1/4 pers / Futuroscope","~ LE TERRACOTTA ~ STUDIO 1/4 PERS / FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"~ Le riad ~ Studio 1/4 Pers- porte du Futuroscope","~ LE RIAD ~ STUDIO 1/4 PERS- PORTE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,2627,"hotel de la paix","HOTEL DE LA PAIX",Pamiers,
,5118,"Hôtel du Château","HOTEL DU CHATEAU","Centre-ville d'Annecy -  Annecy","GRAND ANNECY AGGLOMERATION"
,,"Yellow Studio - Poitiers Coeur de ville","YELLOW STUDIO - POITIERS COEUR DE VILLE",Poitiers,
,,"Apparenthèse Love Room Jacuzzi Sauna","APPARENTHESE LOVE ROOM JACUZZI SAUNA",Poitiers,
,,"Appartement les Regrattiers","APPARTEMENT LES REGRATTIERS",Poitiers,
,,"Lava Studio","LAVA STUDIO",Poitiers,
,,"Village Igloo Morzine Avoriaz","VILLAGE IGLOO MORZINE AVORIAZ",Avoriaz,
,,"Village Igloo La Rosière","VILLAGE IGLOO LA ROSIERE","La Rosière",
,2643,"hotel les edelweiss","HOTEL LES EDELWEISS",Cauterets,CAUTERETS
,8545,"Hôtel Concorde","HOTEL CONCORDE",Lourdes,"BEZIERS MEDITERRANEE"
,,"Hôtel Le Sherpa Val Thorens","HOTEL LE SHERPA VAL THORENS","Val Thorens",
,,"Les Chemins du Léman","LES CHEMINS DU LEMAN",Novel,
,,"VTF Le Grand Hotel","VTF LE GRAND HOTEL",Montgenèvre,
,,"Hôtel L'Arboisie","HOTEL L'ARBOISIE",Megève,
,,"Les Suites de la Potinière","LES SUITES DE LA POTINIERE","Courchevel 1850 -  Courchevel",
,,"Belambra Clubs Presqu'île De Giens - les Criques","BELAMBRA CLUBS PRESQU'ILE DE GIENS - LES CRIQUES",Hyères,
,,"Belambra Clubs Presqu'île De Giens - Riviera Beach Club","BELAMBRA CLUBS PRESQU'ILE DE GIENS - RIVIERA BEACH CLUB",Hyères,
,,"Hôtel L'Aiguille Percée","HOTEL L'AIGUILLE PERCEE","Tignes Le Lac -  Tignes",
,,"Le Clos Pierrepont","LE CLOS PIERREPONT",Montferrat,
,,"Auberge Les Tilleuls","AUBERGE LES TILLEULS",Saint-Jorioz,
,,"Chambre Hôtel Ibiza Spa - Hammam - Jacuzzis - Piscine Chauffée","CHAMBRE HOTEL IBIZA SPA - HAMMAM - JACUZZIS - PISCINE CHAUFFEE","Les Deux Alpes",
,,"RockyPop Flaine Hotel  and  Spa","ROCKYPOP FLAINE HOTEL  AND  SPA",Flaine,
,,"Chalet Hotel Kaya","CHALET HOTEL KAYA","Les Menuires",
,,"Hôtel Alpen Ruitor","HOTEL ALPEN RUITOR","Méribel-Mottaret -  Méribel",
,,"Araucaria Hotel  and  Spa","ARAUCARIA HOTEL  AND  SPA","La Plagne",
,,"Le Vancouver","LE VANCOUVER","La Plagne",
,,"Hôtel Le Chamois d'Or -  USSIM Vacances Méribel","HOTEL LE CHAMOIS D'OR -  USSIM VACANCES MERIBEL",Méribel,
,,"Alberta Hotel  and  Spa","ALBERTA HOTEL  AND  SPA","Val Thorens",
,3226,"Hôtel de la Loze","HOTEL DE LA LOZE","Courchevel 1850 -  Courchevel",COURCHEVEL
,1171,"Hotel Les Mélèzes","HOTEL LES MELEZES","Les Deux Alpes","LES DEUX ALPES"
,948,"Hotel Le Portillo","HOTEL LE PORTILLO","Val Thorens","VAL THORENS"
,,"Le Val Thorens -  a Beaumier hotel","LE VAL THORENS -  A BEAUMIER HOTEL","Val Thorens",
,,"Logis Hôtel l'Amandier","LOGIS HOTEL L'AMANDIER",Morlaas,
,,"Rives d'Or Hôtel","RIVES D'OR HOTEL","La Seyne-sur-Mer",
,,"Hôtel Cap Soleil","HOTEL CAP SOLEIL",Cavalaire-sur-Mer,
,,"Hôtel le Calypso","HOTEL LE CALYPSO",Hyères,
,,"Hotel Mont Vallon","HOTEL MONT VALLON","Méribel-Mottaret -  Méribel",
,,"Le Fitz Roy -  a Beaumier hotel","LE FITZ ROY -  A BEAUMIER HOTEL","Val Thorens",
,,"Hotel Le Coucou Méribel","HOTEL LE COUCOU MERIBEL",Méribel,
,,"Le Kaïla","LE KAILA",Méribel,
,,"Hotel Carlina","HOTEL CARLINA","Courchevel 1850 -  Courchevel",
,8497,"Chateau du Clos de la Ribaudiere","CHATEAU DU CLOS DE LA RIBAUDIERE",Chasseneuil-du-Poitou,"LE GRAND POITIERS"
,,"Madame Vacances - Hôtel Courchevel Olympic","MADAME VACANCES - HOTEL COURCHEVEL OLYMPIC","Courchevel 1850 -  Courchevel",
,,"ÔBERGE MAITE","OBERGE MAITE",Urrugne,
,,"Madame Vacances Hôtel  and  Spa Le Mottaret","MADAME VACANCES HOTEL  AND  SPA LE MOTTARET","Méribel-Mottaret -  Méribel",
,,"ho36 La Plagne","HO36 LA PLAGNE","La Plagne",
,,"Madame Vacances Hôtel Ibiza","MADAME VACANCES HOTEL IBIZA","Les Deux Alpes",
,,"Ours Blanc Hotel  and  Spa","OURS BLANC HOTEL  AND  SPA","Les Menuires",
,,"Hôtel Alizé","HOTEL ALIZE","Minimes - Barrière de Paris -  Toulouse",
,,"Hife Toulouse Labège","HIFE TOULOUSE LABEGE",Labège,
,,"TERRESENS - HOTEL ESCAPADE","TERRESENS - HOTEL ESCAPADE",L'Alpe-d'Huez,
,7459,"Hôtel Aalborg","HOTEL AALBORG","Les Deux Alpes","LES DEUX ALPES"
964534,4828,"Résidence Nécou","RESIDENCE NECOU","Les Ménuires",
,,"Premiere Classe Poitiers Futuroscope - Chasseneuil","PREMIERE CLASSE POITIERS FUTUROSCOPE - CHASSENEUIL",Chasseneuil-du-Poitou,
,,"White 1921 Courchevel","WHITE 1921 COURCHEVEL","Courchevel 1850 -  Courchevel",
,,"hotelF1 Poitiers Nord Futuroscope","HOTELF1 POITIERS NORD FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"ibis budget Poitiers Nord Futuroscope","IBIS BUDGET POITIERS NORD FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"Campanile Poitiers - Site du Futuroscope","CAMPANILE POITIERS - SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"B and B HOTEL Poitiers 3 Futuroscope","B AND B HOTEL POITIERS 3 FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"Quick Palace Poitiers","QUICK PALACE POITIERS",Chasseneuil-du-Poitou,
,,"B and B HOTEL Poitiers 1 Futuroscope","B AND B HOTEL POITIERS 1 FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"ibis Site du Futuroscope","IBIS SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"Hotel Plaza - site du Futuroscope","HOTEL PLAZA - SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"AU 237'- Résidence Aquatis - Futuroscope - La Conciergerie.","AU 237'- RESIDENCE AQUATIS - FUTUROSCOPE - LA CONCIERGERIE.",Chasseneuil-du-Poitou,
,,"ibis budget Site du Futuroscope","IBIS BUDGET SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"CosyStudio Site du Futuroscope","COSYSTUDIO SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"Mercure Poitiers Site du Futuroscope","MERCURE POITIERS SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"Novotel Poitiers Site du Futuroscope","NOVOTEL POITIERS SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"CosyHome Site du Futuroscope","COSYHOME SITE DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"Appartement Futuroscope-P'","APPARTEMENT FUTUROSCOPE-P'",Chasseneuil-du-Poitou,
,,"HAVANA du Futuroscope","HAVANA DU FUTUROSCOPE",Chasseneuil-du-Poitou,
,,"EMLAVIE Loft avec SPA privatif","EMLAVIE LOFT AVEC SPA PRIVATIF",Chasseneuil-du-Poitou,
,910,"Hotel La Meije","HOTEL LA MEIJE","Les Deux Alpes","LES DEUX ALPES"
,3130,"Hôtel La Grande Lanière","HOTEL LA GRANDE LANIERE","Les Gets","LES GETS"
,,"Campanile Poitiers","CAMPANILE POITIERS",Poitiers,
,,"Les Arobiers","LES AROBIERS",Lamoura,
,,"Hotel Le Littoral","HOTEL LE LITTORAL",Évian-les-Bains,
,,"Le Saint Joseph","LE SAINT JOSEPH","Courchevel 1850 -  Courchevel",
,,"La Principauté de Comborciere","LA PRINCIPAUTE DE COMBORCIERE","La Toussuire",
,,"Mountain Lodge -  Les Crosets","MOUNTAIN LODGE -  LES CROSETS","Les Crosets",
,,"Hôtel Les Balcons Village","HOTEL LES BALCONS VILLAGE","Belle Plagne",
,,"Le Chalet du Mont Vallon Spa Resort","LE CHALET DU MONT VALLON SPA RESORT","Les Menuires",
,,"Snow Lodge Hotel Courchevel 1850","SNOW LODGE HOTEL COURCHEVEL 1850","Courchevel 1850 -  Courchevel",
,,Saint-Vincent,SAINT-VINCENT,"Plage de Pampelonne -  Saint-Tropez",
,,"Loveroom La Garçonn'Hyeres","LOVEROOM LA GARCONN'HYERES","Hyères City Centre -  Hyères",
,,"Fahrenheit Seven Courchevel","FAHRENHEIT SEVEN COURCHEVEL","Courchevel 1650 -  Courchevel",
,,"Hôtel Vacances Bleues Belle Plagne","HOTEL VACANCES BLEUES BELLE PLAGNE","Belle Plagne",
,,"Hôtel L'Arbina","HOTEL L'ARBINA","Tignes Le Lac -  Tignes",
,,"Hôtel Le Levanna by Les Etincelles","HOTEL LE LEVANNA BY LES ETINCELLES","Tignes Le Lac -  Tignes",
,,"Grand Hotel Royal E Golf","GRAND HOTEL ROYAL E GOLF","Courmayeur Centro -  Courmayeur",
,,"SOWELL Family Riviera","SOWELL FAMILY RIVIERA",Saint-Raphaël,
,,"Hotel Lo Campagnar","HOTEL LO CAMPAGNAR",Courmayeur,
,,"iH Hotels Courmayeur Mont Blanc","IH HOTELS COURMAYEUR MONT BLANC",Courmayeur,
,,"Villa Bellagio Euromedecine by Popinns","VILLA BELLAGIO EUROMEDECINE BY POPINNS","Hopitaux-Facultes -  Montpellier",
,,"Hotel Astoria","HOTEL ASTORIA","Entrèves -  Courmayeur",
,,"Hôtel Carlina by Les Etincelles","HOTEL CARLINA BY LES ETINCELLES","Belle Plagne",
,,"Hôtel VoulezVous by Les Etincelles","HOTEL VOULEZVOUS BY LES ETINCELLES","Tignes Le Lac -  Tignes",
,,"Snoroc by Daddy Pool- TERRESENS","SNOROC BY DADDY POOL- TERRESENS",Aime-La-Plagne,
,,"Grand Hotel Courmayeur Mont Blanc","GRAND HOTEL COURMAYEUR MONT BLANC",Courmayeur,
,,"Hotel Uhainak","HOTEL UHAINAK",Hendaye,
,,"Hôtel Ohartzia","HOTEL OHARTZIA",Saint-Jean-de-Luz,
,,"Villars Lodge","VILLARS LODGE",Villars-sur-Ollon,
,,"Victoria Hotel  and  Residence","VICTORIA HOTEL  AND  RESIDENCE",Villars-sur-Ollon,
,,"Villars Palace","VILLARS PALACE",Villars-sur-Ollon,
,,"Hôtel Koh-I Nor by Les Etincelles","HOTEL KOH-I NOR BY LES ETINCELLES","Val Thorens",
,,"Hôtel L'Aigle du Montana by Les Etincelles","HOTEL L'AIGLE DU MONTANA BY LES ETINCELLES","Tignes Le Lac -  Tignes",
,,"L'Escale (accès en télécabine)","L'ESCALE (ACCES EN TELECABINE)",Châtel,
,,"M Lodge  and  Spa","M LODGE  AND  SPA",Saint-Martin-de-Belleville,
,,"Hôtel Les Palmiers","HOTEL LES PALMIERS","Saint-Tropez City Centre -  Saint-Tropez",
,,"La Belle Etoile","LA BELLE ETOILE","Les Deux Alpes",
,,"Le Refuge du Grand Hôtel - Altitude 1900 m","LE REFUGE DU GRAND HOTEL - ALTITUDE 1900 M",Saint-Chaffrey,
,,"Hôtel Le Diamond Rock","HOTEL LE DIAMOND ROCK","Tignes Le Lac -  Tignes",
,7490,"Hotel Bel'alpe","HOTEL BEL'ALPE",Morzine,MORZINE
,,"Grand Hôtel Courchevel 1850","GRAND HOTEL COURCHEVEL 1850","Courchevel 1850 -  Courchevel",
,,"Hôtel Courcheneige","HOTEL COURCHENEIGE","Courchevel 1850 -  Courchevel",
,,"Hôtel Eliova Le Chaix","HOTEL ELIOVA LE CHAIX",L'Alpe-d'Huez,
,,"Hotel Bergerie Chatel","HOTEL BERGERIE CHATEL",Châtel,
,,"Résidence Ynycio","RESIDENCE YNYCIO","Val Claret -  Tignes",
,,"Kyriad Toulouse Blagnac Aéroport","KYRIAD TOULOUSE BLAGNAC AEROPORT",Blagnac,
,,"Hotel Le Chabichou","HOTEL LE CHABICHOU","Courchevel 1850 -  Courchevel",
159756,,"Résidence Bleu Marine","RESIDENCE BLEU MARINE","Fréjus - Port Fréjus",
52887,,"Résidence Les Iris","RESIDENCE LES IRIS","Le Lavandou",
188683,,"Résidence Praz De L'ours B","RESIDENCE PRAZ DE L'OURS B",Peisey-Vallandry,
1090844,,"Résidence Villarencel","RESIDENCE VILLARENCEL",Saint-Martin-de-Belleville,
144546,,"Résidence Le Domaine d'Azur","RESIDENCE LE DOMAINE D'AZUR","Le Lavandou",
1089644,,"Chalet De La Riondaz","CHALET DE LA RIONDAZ",Saint-Martin-de-Belleville,
79365,,"Résidence Le Grand Parc","RESIDENCE LE GRAND PARC","Fréjus - Port Fréjus",
191778,,"Résidence Trois Marches Bat C","RESIDENCE TROIS MARCHES BAT C","Méribel - Centre",
566144,,"Résidence Melezes","RESIDENCE MELEZES","Les Ménuires",
1091604,,"Résidence Campanules","RESIDENCE CAMPANULES",Saint-Martin-de-Belleville,
1092924,,"Résidence Saint Marcel","RESIDENCE SAINT MARCEL",Saint-Martin-de-Belleville,
1091404,,"Résidence Alpages De Reberty","RESIDENCE ALPAGES DE REBERTY","Les Ménuires",
530434,,"Résidence Génépi 501","RESIDENCE GENEPI 501","Isola 2000",
124744,,"Camping Tikayan La Prairie","CAMPING TIKAYAN LA PRAIRIE","Le Muy",
200453,,"Résidence Villa du Lac (DLB101)","RESIDENCE VILLA DU LAC (DLB101)",Divonne-les-Bains,
1091504,,"Résidence Valmonts B","RESIDENCE VALMONTS B","Les Ménuires",
52877,,"Résidence Saint James","RESIDENCE SAINT JAMES","Le Lavandou",
125856,,"Résidence L'Open","RESIDENCE L'OPEN","Fréjus - Port Fréjus",
1095854,,"Résidence Les Voiles Blanches","RESIDENCE LES VOILES BLANCHES","Port Leucate",
1089694,,"Résidence Le Bettex","RESIDENCE LE BETTEX",Saint-Martin-de-Belleville,
79361,,"Maison de Vacances Fréjus","MAISON DE VACANCES FREJUS","Fréjus - Port Fréjus",
1091744,,"Résidence Astragales","RESIDENCE ASTRAGALES","Les Ménuires",
1093004,,"Résidence Murgers","RESIDENCE MURGERS",Saint-Martin-de-Belleville,
,909,"Hotel la Brunerie","HOTEL LA BRUNERIE","Les Deux Alpes","LES DEUX ALPES"
1091724,,"Résidence Asters B3","RESIDENCE ASTERS B3","Les Ménuires",
963274,,"Camping Les Pêcheurs","CAMPING LES PECHEURS",Roquebrune-sur-Argens,
1091344,,"Résidence Biellaz","RESIDENCE BIELLAZ","Les Ménuires",
810814,,"Residence Alpages Mottaret B","RESIDENCE ALPAGES MOTTARET B","Méribel - Mottaret",
1091564,,"Résidence Le Cochet","RESIDENCE LE COCHET",Saint-Martin-de-Belleville,
1088964,,"Résidence Callisto - maeva Home","RESIDENCE CALLISTO - MAEVA HOME","La Plagne - Belle Plagne",
187502,,"Residence Cairn De Tueda","RESIDENCE CAIRN DE TUEDA","Méribel - Mottaret",
1027104,,"Residence Hotel Aiguille Rouge","RESIDENCE HOTEL AIGUILLE ROUGE","Arc 2000",
78866,,"Résidence Le Magellan","RESIDENCE LE MAGELLAN",Saint-Raphaël,
1026874,,"Résidence Ecrin Des Neiges A","RESIDENCE ECRIN DES NEIGES A","Tignes - Val Claret",
1093384,,"Résidence Soldanelles A","RESIDENCE SOLDANELLES A","Les Ménuires",
191926,,"Résidence Lot 300 A Et B","RESIDENCE LOT 300 A ET B","Tignes - Le Lac / Le Lavachet",
,,"Camping Campéole Le Vivier","CAMPING CAMPEOLE LE VIVIER","40600 BISCARROSSE",
122296,,"Résidence Promenade des Bains - maeva Home","RESIDENCE PROMENADE DES BAINS - MAEVA HOME",Saint-Raphaël,
,,"Camping maeva Club Les Dinosaures","CAMPING MAEVA CLUB LES DINOSAURES","85440 TALMONT SAINT HILAIRE",
,,"Camping de l'Orival","CAMPING DE L'ORIVAL","76950 LES GRANDES VENTES",
,,"Camping La Prévoté","CAMPING LA PREVOTE","85270 SAINT HILAIRE DE RIEZ",
363154,,"Résidence Ourse Bleue","RESIDENCE OURSE BLEUE","Courchevel 1650",
885544,,"Résidence Cuzco","RESIDENCE CUZCO","Val Thorens",
1087374,,"Résidence Le Chalet des Rennes - maeva Home","RESIDENCE LE CHALET DES RENNES - MAEVA HOME",Vars,
1090184,,"Résidence Les Granges","RESIDENCE LES GRANGES",Saint-Martin-de-Belleville,
132274,,"Résidence Le Borghese","RESIDENCE LE BORGHESE","Fréjus - Port Fréjus",
1094504,,"Résidence Iris","RESIDENCE IRIS",Flaine,
1091394,,"Résidence Evons","RESIDENCE EVONS","Les Ménuires",
82597,,"Résidences Lagrange Vacances Le Domaine d'Azur et Tahiti Park","RESIDENCES LAGRANGE VACANCES LE DOMAINE D'AZUR ET TAHITI PARK","Le Lavandou",
1093484,,"Résidence Bellevue","RESIDENCE BELLEVUE","Les Ménuires",
1090504,,"Résidence Tetras Lyre","RESIDENCE TETRAS LYRE","Les Ménuires",
187398,,"Chalet Selaou","CHALET SELAOU","Val Thorens",
195818,,"Camping Saint Aygulf Plage","CAMPING SAINT AYGULF PLAGE",Saint-Aygulf,
1096204,,"Les Chalets De Bois MÉan - E","LES CHALETS DE BOIS MEAN - E","Les Orres",
139608,,"Résidence Port Quiétude","RESIDENCE PORT QUIETUDE","Fréjus - Port Fréjus",
530364,,"Résidence Mercantour 505","RESIDENCE MERCANTOUR 505","Isola 2000",
1097324,,"Résidence Hameaux Ii","RESIDENCE HAMEAUX II","La Plagne - Plagne Villages / Plagne Soleil",
418134,,"Chalet Le Bionnassay","CHALET LE BIONNASSAY","Saint-Gervais Mont-Blanc",
775614,,"Résidence Slalom","RESIDENCE SLALOM","Tignes - Val Claret",
195849,,"Résidence L'Espelido","RESIDENCE L'ESPELIDO",Saint-Aygulf,
1081594,,"Résidence Le Victoria","RESIDENCE LE VICTORIA",Saint-Aygulf,
187620,,"Residence Tueda","RESIDENCE TUEDA","Méribel - Mottaret",
187452,,"Residence Olympie Ii","RESIDENCE OLYMPIE II","Méribel - Mottaret",
1096024,,"Résidence Les Orrianes Des Bles","RESIDENCE LES ORRIANES DES BLES","Les Orres",
232844,,"Résidence Résidence Aigue Marine","RESIDENCE RESIDENCE AIGUE MARINE","Fréjus - Port Fréjus",
610884,,"Résidence Maures de l'Esterel","RESIDENCE MAURES DE L'ESTEREL",Saint-Aygulf,
45667,,"Résidence Pierre  and  Vacances La Corniche d'Or","RESIDENCE PIERRE  AND  VACANCES LA CORNICHE D'OR",Saint-Raphaël,
1091184,,"Résidence Asters C6","RESIDENCE ASTERS C6","Les Ménuires",
189040,,"Résidence Roc De Peclet 1","RESIDENCE ROC DE PECLET 1","Val Thorens",
1091364,,"Résidence Asters A2","RESIDENCE ASTERS A2","Les Ménuires",
1091834,,"Résidence Boedette A","RESIDENCE BOEDETTE A","Les Ménuires",
1093424,,"Résidence Asters B2","RESIDENCE ASTERS B2","Les Ménuires",
205502,,"Hôtel Miléade Méditerranée","HOTEL MILEADE MEDITERRANEE","Fréjus - Port Fréjus",
868224,,"Résidence 3lib7-collioure","RESIDENCE 3LIB7-COLLIOURE",Collioure,
564524,,"Résidence Altitude","RESIDENCE ALTITUDE",Saint-Martin-de-Belleville,
193288,,"Chalet Les Lauzes","CHALET LES LAUZES",Champagny-en-Vanoise,
1085094,,"Résidence Balcons De Tarentaise Bat B","RESIDENCE BALCONS DE TARENTAISE BAT B","La Rosière Montvalezan",
193814,,"Résidence Tufs","RESIDENCE TUFS","Tignes - Val Claret",
1090104,,"Résidence Les Esserts","RESIDENCE LES ESSERTS",Saint-Martin-de-Belleville,
1095864,,"Résidence Le Bretalet","RESIDENCE LE BRETALET",Morzine,
1091164,,"Résidence Les Cristaux","RESIDENCE LES CRISTAUX","Les Ménuires",
78934,,"Résidence Le Cesarée","RESIDENCE LE CESAREE","Fréjus - Port Fréjus",
719334,,"Résidence Les Avrieres Haut","RESIDENCE LES AVRIERES HAUT","La Plagne - Montchavin",
29168,,"Résidence Odalys Domaine des Eucalyptus","RESIDENCE ODALYS DOMAINE DES EUCALYPTUS",Saint-Aygulf,
566344,,"Granges Chalet B","GRANGES CHALET B","Les 7 Laux - Prapoutel",
1091064,,"Résidence Coryles A","RESIDENCE CORYLES A","Les Ménuires",
