id,lieu_id,nom_etablissement,adresse
148,496,AGENCE AGENCE ALP'AGENCE - AIME 2000,"LE PELVOUX LA PLAGNE CENTRE, 73210 La Plagne-Tarentaise, France"
149,46,AGENCE CIS IMMOBILIER - ARC 1800,CENTRE COMMERCIAL DU CHARVET
150,33,AGENCE SKI & SOLEIL VILLAGE ET SOLEIL,
151,38,AGENCE CDA OFFICE IMMOBILIER DE LA PLAGNE - MONTALBERT,"73, 73210 La Plagne-Tarentaise, France"
152,42,CENTRALE DE RESERVATION IGI MONTCHAVIN OLD,
153,37,AGENCE GSI IMMOBILIER PLAGNE 1800,
154,48,AGENCE CIS IMMOBILIER - ARC 1950 - 2000,
155,37,AGENCE SKI & SOLEIL PLAGNE 1800,
157,496,AGENCE GSI IMMOBILIER AIME 2000,"38 rue du Refuge Plagne Centre, 73210 La Plagne-Tarentaise, France"
158,33,AGENCE GSI IMMOBILIER SOLEIL,
159,16,AGENCE VILLAGE LES ARMAILLIS (ex VALLAT JOGUET),"453 Av. des Jeux Olympiques, 73620 Hauteluce, France"
161,16,AGENCE SOGIMALP,"257 Av. des Jeux Olympiques, 73620 Hauteluce, France"
162,16,AGENCE NEXITY,"31 Av. des Jeux Olympiques, 73620 Hauteluce, France"
163,46,AGENCE GSI / LES ARCS IMMOBILIER,"Galerie des Villards, 73700 Bourg-Saint-Maurice, France"
164,16,AGENCE ASSOCIATION DES LOUEURS PARTICULIERS,
165,46,AGENCE SKI ET SOLEIL ARC 1800,
166,16,AGENCE ALPIMO FONCIA (ex VALEXIM),"390 Av. des Jeux Olympiques, 73620 Hauteluce, France"
167,45,AGENCE ALPEVA - ARC 1600,
168,16,AGENCE DU GRAND MONT,"199 Av. des Jeux Olympiques, 73620 Hauteluce, France"
169,46,AGENCE ALPEVA - ARC 1800,
170,33,AGENCE GSI IMMOBILIER VILLAGE,
171,36,AGENCE CDA OFFICE IMMOBILIER DE LA PLAGNE - BELLE PLAGNE,"73, 73210 La Plagne-Tarentaise, France"
172,48,AGENCE ALPEVA - 1950 - 2000,
173,42,AGENCE CDA OFFICE IMMOBILIER DE LA PLAGNE - MONTCHAVIN LES COCHES,
174,6,Gestionnaire logiciel GPI,
175,512,RESIDENCE ESSART/ BONHEUR DES PISTES,"73480 Val-Cenis, France"
